"Special Price:","Now only:"
"My Wishlist","欲しいものリスト"
"My Wishlist (%d item)","欲しいものリスト (%d)"
"My Wishlist (%d items)","欲しいものリスト (%d)"
"My Account","アカウント"
"Cart","カート"
"View Cart","カートを見る"
"View all items in your shopping cart","ショッピングカートの中身を全て見る"
"View All","全て見る"
"Compare","比較"
"Compare Products","商品を比較"
"Compare all selected items","選択した全ての商品を比較"
"Currency","通貨"
"Language","言語"
"Sign Up","新規登録"
"Enter your e-mail","メールアドレスを入力"
"Click to see more products from %s","さらに商品を見るには %s をクリック"
"Related Products","関連商品"
"Zoom","ズーム"
"image {current} of {total}","{current} / {total}"
"New","New"
"Sale","セール"
"Categories","カテゴリ"
"Menu","メニュー"
"Product Description","概要"
"Additional Information","追加情報"
"Product Tags","タグ"
"Email to a Friend","メールでシェア"
"Description","概要"
